x,y1,y2,y3,y4
-9.7,-4.3277264,104.339584,93.97943,-94.13477
-9.6,-4.175225,101.87106,92.326096,-91.67098
-9.5,-4.298459,99.76708,89.83294,-90.23159
-9.4,-4.949247,98.831795,87.87756,-88.527115
-9.3,-5.0089426,96.57242,86.623566,-86.67226
-9.2,-4.997845,94.751495,84.804504,-84.480484
-9.1,-4.8407564,92.77266,82.443344,-83.0002
-9.0,-4.8394485,90.77176,80.23569,-80.84524
-8.9,-4.7990623,89.70052,78.994225,-79.16137
-8.8,-4.176915,87.448784,76.55068,-77.729
-8.7,-3.988956,85.69831,74.65905,-75.19702
-8.6,-4.3905168,84.25017,73.020836,-74.43867
-8.5,-4.080003,82.59875,71.22567,-71.792076
-8.4,-4.2309575,80.15564,69.58164,-70.0797
-8.3,-4.2145,78.99865,67.92161,-68.982574
-8.2,-4.13007,77.57582,66.3335,-67.58293
-8.1,-4.1148024,76.07607,65.10659,-65.73265
-8.0,-4.0532436,74.34875,62.60131,-63.772038
-7.9,-4.2356634,72.24297,61.56755,-62.3541
-7.8,-4.0478435,70.43633,59.892784,-60.796436
-7.7,-3.8986402,69.60058,58.598175,-59.75242
-7.6,-3.991796,67.31389,57.080147,-57.68148
-7.5,-4.728777,66.13701,55.74371,-56.40447
-7.4,-4.2612705,64.31231,53.676785,-54.68979
-7.3,-4.0592866,63.40328,52.71829,-52.848747
-7.2,-3.8483708,61.528137,51.25573,-52.30077
-7.1,-4.5034347,59.996696,49.473534,-50.5706
-7.0,-4.3426127,59.19962,48.117546,-49.15161
-6.9,-4.1117344,58.03369,47.081814,-47.8888
-6.8,-4.2555623,56.42842,46.12308,-45.835873
-6.7,-4.210782,54.711746,44.368717,-45.364666
-6.6,-4.0466666,53.789093,43.716217,-43.23101
-6.5,-4.0352387,52.023354,42.031414,-42.542133
-6.4,-4.222459,50.486023,41.145733,-41.427856
-6.3,-4.540283,49.223194,39.800575,-39.807076
-6.2,-3.9723008,48.473125,38.931587,-37.95921
-6.1,-4.2083483,47.11571,37.42863,-36.869385
-6.0,-4.3016157,46.4621,36.75429,-36.176357
-5.9,-4.367237,45.20263,35.23482,-34.7379
-5.8,-4.355266,43.90281,34.54527,-33.485275
-5.7,-4.312713,42.009422,33.402546,-31.994463
-5.6,-4.143668,41.5722,32.072426,-31.342857
-5.5,-4.128254,40.28623,30.499342,-30.744188
-5.4,-3.8322659,39.419994,29.471159,-29.226196
-5.3,-4.1515408,38.405155,29.171167,-27.93452
-5.2,-3.5655801,37.00208,27.746788,-27.166986
-5.1,-3.5883498,35.748905,27.128014,-25.51518
-5.0,-3.482223,35.246513,25.900644,-24.603558
-4.9,-4.234306,34.228497,24.87218,-24.310432
-4.8,-3.9977324,32.96957,24.470009,-23.040892
-4.7,-3.770832,31.754507,22.9435,-22.263498
-4.6,-3.5680032,31.330023,22.334642,-21.564558
-4.5,-4.242439,30.173698,20.945951,-19.751358
-4.4,-3.6470304,29.84518,19.969164,-18.867302
-4.3,-3.5620973,28.363905,19.29283,-18.21502
-4.2,-3.456231,27.367523,18.982742,-17.507147
-4.1,-3.815469,27.202604,17.36524,-16.918087
-4.0,-3.4928102,26.3509,16.52867,-15.715018
-3.9,-3.711077,25.539454,15.692001,-15.23939
-3.8,-3.904879,24.458284,14.743917,-14.225218
-3.7,-3.1590497,23.282383,14.545477,-14.118066
-3.6,-3.4801886,22.537138,12.969334,-12.986282
-3.5,-3.1219113,22.210606,12.902935,-12.542558
-3.4,-3.115204,21.898811,12.121581,-11.963337
-3.3,-3.8598428,21.005651,11.091257,-10.797403
-3.2,-3.0154548,20.036057,10.162167,-10.692747
-3.1,-3.8702974,19.721281,9.11341,-9.29879
-3.0,-3.851341,19.31082,8.96316,-9.252374
-2.9,-2.9611576,18.782295,7.8487864,-8.201069
-2.8,-3.7413933,17.70499,7.9265046,-8.213726
-2.7,-3.0592523,17.736517,6.4036603,-7.105771
-2.6,-2.7592204,16.430008,6.10116,-6.7452455
-2.5,-2.8493714,16.115915,5.397761,-5.9712543
-2.4,-3.1702633,15.346529,4.919868,-5.8775196
-2.3,-3.2394032,15.096477,4.592648,-5.5289493
-2.2,-2.9416163,15.334389,4.152854,-4.9434624
-2.1,-2.6120641,14.6202545,3.9588873,-4.316483
-2.0,-2.7745678,13.960515,2.6377895,-4.3271313
-1.9,-2.9589612,14.055146,2.556869,-3.4838257
-1.8,-3.2128778,13.716777,2.6237822,-3.4595866
-1.7,-2.532471,12.823003,1.9515303,-2.4819992
-1.6,-2.6612778,12.982446,1.0895724,-2.660825
-1.5,-2.6277227,12.179755,1.01348,-2.5361662
-1.4,-3.0808766,11.514094,1.3302579,-1.6811378
-1.3,-2.4204962,11.468994,1.0089868,-2.1191387
-1.2,-2.407082,11.387298,0.34922117,-1.0016353
-1.1,-2.6410115,11.567195,-0.093877815,-1.0522794
-1.0,-2.3132389,11.335916,0.13729024,-1.2642576
-0.9,-2.2716773,11.175857,0.36162314,-0.8461763
-0.8,-2.3472888,10.4601965,-0.115989275,-0.98985314
-0.7,-1.8541944,10.265668,0.19123684,-0.68713903
-0.6,-2.161158,10.82424,-0.5419145,0.08815207
-0.5,-1.1973743,10.074322,-0.01003627,0.07839684
-0.4,-1.0417286,10.443625,-0.6094723,0.095561735
-0.3,-1.4942552,9.697485,-0.6847752,-0.16121641
-0.2,-1.1200522,9.552309,0.26172638,-0.40360788
-0.1,0.07318633,10.4686575,0.31484202,0.09503595
2.842171e-13,26.207537,9.875404,0.026611984,0.08123798
0.1,0.33906195,10.244832,0.069939,-0.07649551
0.2,-0.35358644,10.004881,-0.20220794,0.35171834
0.3,-1.295946,10.5150385,0.25663143,0.100664884
0.4,-0.9032564,10.486549,0.21914862,-0.10279205
0.5,-1.3215379,10.313703,0.74718887,-0.6724812
0.6,-1.8152015,10.261109,0.52018464,0.103478484
0.7,-1.4721558,10.220998,1.3905739,-0.4211837
0.8,-2.3884678,10.344732,1.5482825,-0.34333476
0.9,-2.2076952,11.024694,1.7218548,-0.51311785
1.0,-1.9270654,11.437709,1.9761255,-1.1559763
1.1,-2.3738768,11.111135,1.6318511,-1.1711928
1.2,-2.6841493,11.772985,2.3373034,-1.9305344
1.3,-2.6240191,12.171021,2.913411,-2.008937
1.4,-2.992186,11.5492935,3.1889148,-2.3117294
1.5,-2.962728,12.180276,3.3005013,-2.6393976
1.6,-2.4135144,12.4712925,3.6978068,-2.5626502
1.7,-2.8437228,12.54511,4.14469,-3.38462
1.8,-2.811053,13.475024,4.435792,-3.4910977
1.9,-2.5309563,13.552483,4.94139,-3.7675831
2.0,-3.4839497,14.064295,4.8934484,-3.8312957
2.1,-3.4188416,14.671224,4.9177523,-4.2382517
2.2,-2.9329708,15.154435,6.1341863,-5.0017295
2.3,-2.7955647,15.123064,6.4590364,-5.389805
2.4,-3.0571353,15.318832,6.3965816,-6.049226
2.5,-3.4345982,16.441101,6.808148,-6.135689
2.6,-3.6891482,16.51144,7.086113,-6.471771
2.7,-3.3035252,17.276285,8.193472,-7.3989882
2.8,-3.610352,17.494118,8.194107,-7.982168
2.9,-3.1693554,18.578396,9.028992,-8.665948
3.0,-2.9673963,18.511227,9.511694,-9.272426
3.1,-3.6816404,19.947939,9.739212,-9.672397
3.2,-3.2343793,20.548422,10.646218,-10.584082
3.3,-3.2454758,20.837765,10.301536,-11.061722
3.4,-3.0316489,21.35896,11.731545,-11.9046955
3.5,-3.069674,21.85531,12.09351,-12.627335
3.6,-3.940232,22.795677,12.35561,-13.3587265
3.7,-3.1949134,24.138407,12.684113,-13.933966
3.8,-3.430765,24.099813,14.023981,-14.571224
3.9,-3.385647,25.088549,14.613398,-15.272204
4.0,-3.6310081,25.888004,15.705341,-15.718572
4.1,-3.3195827,27.11267,16.338737,-16.60991
4.2,-3.642627,27.701305,16.753452,-17.186192
4.3,-3.827216,28.316166,17.563976,-18.870928
4.4,-4.0678287,29.234806,18.79684,-18.961418
4.5,-3.507813,30.5232,19.108473,-19.825247
4.6,-3.8393052,31.001076,20.062492,-21.571547
4.7,-3.7354827,31.828941,21.210344,-22.217365
4.8,-4.044358,33.497463,22.431736,-22.612118
4.9,-4.080048,33.981953,23.333899,-23.692518
5.0,-4.2394834,34.660027,23.92329,-24.689936
5.1,-3.838391,35.921257,25.205133,-25.989939
5.2,-4.0377607,37.097633,26.09601,-26.778662
5.3,-3.7523406,38.22125,27.428036,-28.487045
5.4,-3.4983232,38.762623,28.05911,-28.72906
5.5,-3.5974333,40.250973,29.263264,-30.017256
5.6,-4.450028,41.165913,30.678446,-31.27929
5.7,-4.2666874,42.96295,32.436493,-32.01733
5.8,-3.6185298,43.883465,33.096737,-33.72824
5.9,-4.288203,44.947083,34.046463,-35.13246
6.0,-3.9601128,45.505886,35.233505,-36.157806
6.1,-4.4810863,47.062077,37.11432,-37.59688
6.2,-4.15205,48.466274,38.71741,-38.225277
6.3,-4.241601,49.740685,39.332794,-39.955677
6.4,-4.406726,51.12568,41.387657,-41.04404
6.5,-3.67498,51.790234,41.999523,-41.936382
6.6,-4.573793,53.13955,43.767223,-43.95561
6.7,-3.8979723,55.06089,45.696342,-44.916798
6.8,-3.7909245,56.712948,47.19496,-46.650097
6.9,-4.394603,57.998886,48.297974,-48.065926
7.0,-3.9228463,59.31531,49.406803,-49.08884
7.1,-4.074364,60.00123,50.67665,-49.98205
7.2,-4.1598573,62.13784,52.590675,-52.332623
7.3,-4.7277355,63.227833,54.369965,-53.425278
7.4,-3.8407617,64.89583,55.35993,-54.63013
7.5,-3.9397357,66.14878,57.24017,-56.17704
7.6,-4.2836103,67.94744,59.14913,-57.52685
7.7,-4.5344887,69.71809,60.61125,-59.57176
7.8,-4.535144,70.54156,61.625008,-60.43257
7.9,-4.3198414,72.10997,63.77523,-62.830593
8.0,-4.839131,73.77818,64.64089,-63.78646
8.1,-4.438738,75.91473,67.0453,-65.20346
8.2,-4.536968,77.70899,67.68353,-66.9886
8.3,-4.4479876,78.93163,69.89399,-68.94369
8.4,-4.2559724,80.18561,71.05156,-70.664955
8.5,-3.9539945,82.0137,72.97551,-71.89569
8.6,-4.8075795,84.04019,74.83743,-74.42809
8.7,-4.4399424,85.93589,76.534775,-75.92825
8.8,-4.793139,87.5075,77.67059,-77.50747
8.9,-4.5898805,89.24145,80.07627,-79.33453
9.0,-4.138926,91.212234,81.24228,-80.56584
9.1,-5.000084,93.090225,82.87833,-83.24578
9.2,-4.9055867,94.76687,85.30234,-84.220634
9.3,-5.0152907,96.90038,86.289536,-86.751434
9.4,-4.4979987,98.525604,87.99485,-88.850296
9.5,-4.7255187,100.659225,90.28862,-90.43058
9.6,-4.3779573,101.99162,91.73103,-91.84322
9.7,-4.7213483,104.39011,93.94332,-94.2748
9.8,-4.494899,105.55538,95.870476,-96.45664
9.9,-5.0016418,107.75205,97.22943,-98.004425
10.0,-4.301327,110.17085,99.0136,-100.162674
10.1,-5.0727925,112.417435,101.40996,-101.708755
10.2,-4.985269,113.8477,103.13727,-103.68539
10.3,-4.5620165,115.59887,105.05338,-105.70636
10.4,-4.4667335,117.989975,107.060005,-108.47406
10.5,-4.845248,120.40644,109.52475,-110.637825
10.6,-4.864032,122.62155,111.38086,-112.800964
10.7,-4.8333144,124.70476,113.25504,-114.232414
10.8,-4.21425,126.33132,116.029915,-116.85039
10.9,-5.057845,128.96432,117.59193,-118.36995
11.0,-4.8260045,130.78386,119.979546,-120.60522
11.1,-5.1329994,132.7996,122.38793,-123.19254
11.2,-4.2761383,135.03404,124.34398,-124.947876
11.3,-4.8145475,137.94266,126.88498,-127.65016
11.4,-4.887262,139.67888,129.282,-129.93433
11.5,-5.1366754,141.99922,131.50241,-131.77974
11.6,-5.141455,144.12901,134.1842,-134.78824
11.7,-4.4384546,147.29839,135.69685,-137.0884
11.8,-4.726946,149.104,138.67108,-139.14946
11.9,-5.111643,151.23158,140.94327,-141.90596
12.0,-4.3119907,154.1749,143.54547,-144.27342
12.1,-4.6069827,156.3476,146.08205,-146.64417
12.2,-4.901644,158.40619,148.63887,-149.00941
12.3,-4.6955156,161.43517,151.04123,-151.00247
12.4,-5.1752577,164.09958,153.36505,-154.25322
12.5,-4.4587235,166.74655,156.08226,-156.18855
12.6,-5.255528,168.43031,158.79993,-159.10712
12.7,-5.162278,170.82791,161.15213,-161.29614
12.8,-4.3896236,174.27307,164.47195,-164.12859
12.9,-4.5404196,176.84843,167.10002,-166.78175
13.0,-4.4887414,178.80911,169.89323,-169.16208
13.1,-5.1206884,181.5531,171.64107,-171.97736
13.2,-5.2617908,184.71994,175.05508,-173.76755
13.3,-5.2109647,186.55089,177.27266,-176.7594
13.4,-5.3153224,189.0893,180.3911,-179.35843
13.5,-4.5465736,192.65685,182.99289,-181.92351
13.6,-5.18747,195.40198,186.13979,-185.18686
13.7,-4.5298777,197.95938,188.4407,-187.72621
13.8,-4.6325006,200.42178,190.96504,-190.92618
13.9,-4.9819183,203.33698,194.3845,-192.9077
14.0,-5.270353,205.96664,196.70905,-195.73442
14.1,-4.64099,208.5949,199.69948,-198.95728
14.2,-5.395046,211.43298,202.63095,-201.22458
14.3,-5.389796,214.73294,205.0389,-204.778
14.4,-5.2155166,217.82939,208.63087,-207.79237
14.5,-4.9419293,220.31636,211.32988,-209.9769
14.6,-5.191689,222.78285,213.7536,-212.74782
14.7,-4.9248714,226.11856,216.61502,-216.24013
14.8,-4.808613,229.11407,220.09586,-219.09068
14.9,-5.0007567,231.79381,223.11743,-222.48463
15.0,-4.829095,235.16302,225.19843,-224.53755
15.1,-4.9653187,237.90906,228.87372,-227.65172
15.2,-4.993979,241.17941,231.1832,-230.68259
15.3,-5.465739,244.28731,234.81813,-234.45885
15.4,-5.3159537,247.33429,237.4502,-237.5191
15.5,-5.2783933,250.44264,240.94464,-240.41351
15.6,-5.158188,253.14168,243.41153,-243.01839
15.7,-4.8441005,256.74506,246.47469,-246.53601
15.8,-4.989246,259.47382,249.4631,-249.92506
15.9,-4.8065023,262.8194,252.17274,-253.2538
16.0,-4.950656,266.39008,255.9461,-255.55946
16.1,-5.4314394,269.57465,259.02155,-258.7272
16.2,-4.9286942,272.63113,262.33286,-262.7877
16.3,-4.625409,275.498,264.91837,-265.7641
16.4,-5.414203,279.10678,268.0093,-269.16318
16.5,-5.4479628,282.5617,271.65866,-272.38406
16.6,-5.4018984,285.18192,274.56863,-275.34778
16.7,-5.613047,288.96906,278.27277,-278.51584
16.8,-5.3562984,292.37457,281.14307,-281.89685
16.9,-4.8406715,295.33704,284.74493,-285.19437
17.0,-5.185955,298.89386,288.46207,-288.84174
17.1,-4.7944245,302.66068,291.8474,-291.96118
17.2,-5.6163354,306.1908,294.79266,-296.03784
17.3,-4.6795287,309.3877,298.52908,-298.83383
17.4,-4.693828,312.2983,301.60507,-302.47424
17.5,-5.1028275,316.68643,305.21716,-306.4973
17.6,-5.372177,319.85724,308.9884,-309.47614
17.7,-5.330047,323.1861,312.52264,-313.38608
17.8,-5.4429364,327.27405,315.96576,-317.2948
17.9,-4.966428,330.5796,319.65555,-320.31494
18.0,-5.383873,334.28537,323.15988,-324.4497
18.1,-5.1329985,337.24222,326.74698,-327.51715
18.2,-5.597718,341.1552,330.34943,-330.92804
18.3,-5.2485185,344.7908,334.4991,-335.31488
18.4,-5.2197766,348.6616,338.25668,-338.91058
18.5,-4.7931504,352.17355,342.25793,-342.3276
18.6,-5.5145226,356.3054,345.71347,-346.03955
18.7,-4.950165,359.22748,349.17465,-349.81503
18.8,-5.6466064,363.50403,352.9646,-353.5661
18.9,-5.2138324,366.76285,357.0413,-356.76102
19.0,-5.2685757,371.17,361.1152,-360.61514
19.1,-4.9444547,375.07236,365.4189,-364.4979
19.2,-4.9939513,378.57758,369.18805,-368.92105
19.3,-5.6094403,382.57236,372.95526,-372.49118
19.4,-5.4095855,386.2757,376.46207,-376.49823
19.5,-4.9188275,389.9431,381.05548,-380.5411
19.6,-5.6112323,394.45657,385.13385,-384.04315
19.7,-5.3089547,398.10648,388.75632,-388.34177
19.8,-5.3736377,402.19745,393.03613,-392.07895
19.9,-5.3037076,406.30383,396.85242,-395.5143
